Flow,Error Code,lor1,Comment,Description
DVE,DC_21,enable,,"DC_21: Diffcon pitch, only allowed value = DC_21"
DVE,DF_01,enable,,"DF_01: min transistor diff width (N,P) = DF_01"
DVE,DF_02,enable,,DF_02: min device width = DF_02 and device length = PL_01
DVE,DF_03,enable,,DF_03: max device width = DF_03
DVE,DF_04,enable,,"DF_04: min transistor diff facing-edge space, gate-dir (N,P) = DF_04"
DVE,DF_05,enable,,"DF_05: min transistor diff facing-edge space, non-gate-dir (N,P) = DF_05"
DVE,DF_06,enable,,"DF_06: min transistor diff corner-to-corner space (N,P) = DF_06"
DVE,DF_07,enable,,DF_07: diff hole are not allowed
DVE,DF_08,disable,Diffusion density,"DF_08: max spacing between any diff edges, in the smaller dir = DF_08"
DVE,DF_11,enable,,DF_11: min t_diff_D_nbc length = DF_11
DVE,DF_12,enable,,"DF_12: only non-stacked gate S/D extent (N,P) = DF_12"
DVE,DF_13,enable,,"DF_13: max transistor diff dim, in smaller dir (N,P)= DF_13"
DVE,DF_14,enable,,"DF_14: transistor diff width, with 1 concave diff corner (single jog) = DF_14"
DVE,DF_15,enable,,DF_15: min width of two-sided jogged S/D diff = DF_15
DVE,DF_16,enable,,DF_16: min transistor diff internal corner-to-corner width = DF_16
DVE,DF_17,enable,,"DF_17: min transistor diff notch width, gate_dir = DF_17"
DVE,DF_18,enable,,DF_18: min t_diff seg. len. when adj at corner = DF_18
DVE,DF_20,enable,,DF_20: only rectangular tap shapes are allowed
DVE,DF_21,enable,,"DF_21: only tap diffusion width (N,P) = DF_21"
DVE,DF_22,enable,,"DF_22: min tap diffusion length (N,P) = DF_22"
DVE,DF_23/DF_24,enable,,DF_23/DF_24: min tap spacing comp. overlap = DF_23 or not comp. overlap = DF_24
DVE,DF_25/DF_26,enable,,DF_25/DF_26: min tap to transistor (same well) = DF_25
DVE,DF_27,enable,,DF_27: min tap corner to transistor concave corner (jog segment > 0.10) space (same well) = DF_27
DVE,DF_30,enable,,DF_30: no diode diff shape are allowed in the logic area
DVE,DF_41,enable,,DF_41: min tdiff width w/ 2 concave on same gate/diff = DF_41
DVE,DF_42,enable,,DF_42: min tdiff width w/ 2 concave on opp. gate/diff and on opp. gate/SD = DF_42 
DVE,DF_43,enable,,DF_43: min tdiff width w/ 2 concave on opp. gate/diff and on same gate/SD = DF_43 
DVE,DF_44,enable,,DF_44: diffusion w/ 3 concave corners not allowed
DVE,DF_45,enable,,DF_45: diffusion w/ 4 concave corners not allowed
DVE,DIC_DC,enable,,DIC_DC: No diffcon on top of DIC
DVE,DIC_DF,enable,,DIC_DF: No diff on top of DIC
DVE,DIC_M1,enable,,DIC_M1: No metal1 on top of DIC
DVE,DIC_M2,enable,,DIC_M2: No metal2 on top of DIC
DVE,DIC_M3,enable,,DIC_M3: No metal3 on top of DIC
DVE,DIC_NW,enable,,DIC_NW: No nwell on top of DIC
DVE,DIC_PC,enable,,DIC_PC: No polycon on top of DIC
DVE,DIC_PL,enable,,DIC_PL: No poly on top of DIC
DVE,DIC_V0,enable,,DIC_V0: No via0 on top of DIC
DVE,DIC_V1,enable,,DIC_V1: No via1 on top of DIC
DVE,DIC_V2,enable,,DIC_V2: No via2 on top of DIC
DVE,DIC_V3,enable,,DIC_V3: No via3 on top of DIC
DVE,diffcondnp,enable,,diffcondnp: layer diffcondnp not allowed in design data
DVE,diffconframe,enable,,diffconframe: layer diffconframe not allowed in design data
DVE,diffframe,enable,,diffframe: layer diffframe not allowed in design data
DVE,diode,enable,,diode: integrated diode not tied to vss*
DVE,DS_01,enable,,DS_01: no Diff or TCN allowed in Transition Ring
DVE,DS_02,enable,,DS_02: poly only width = PL_01 or SM_01
DVE,DS_03,enable,,DS_03: poly not on template (off-pitch or incorrect length)
DVE,DS_13,enable,,DS_13: min polyod space in gate_dir = DS_13
DVE,DS_21,enable,,"DS_21: In transition ring, polycon cannot touch or overlap poly"
DVE,DS_22,enable,,"DS_22: In transition ring, polycon side space to poly line-end = DS_22"
DVE,DS_23,enable,,"DS_23: In transition ring, polycon end space to poly side = DS_23"
DVE,DV_00,enable,,DV_00: all gate inside altvtid must have AN_05 poly CD
DVE,DV_01,enable,,DV_01: min altvtid width = DV_01
DVE,DV_03,enable,,DV_03: min altvtid space = DV_03
DVE,DV_05,enable,,DV_05: min altvtid area [sq um] = DV_05
DVE,DV_06,enable,,DV_06: min altvtid hole area [sq um] = DV_06
DVE,DV_07,enable,,DV_07: min altvtid seg. len. when adj at corner = DV_07
DVE,DV_11,enable,,"DV_11: altvtid encl of tdiff, in gate dir = DV_11"
DVE,DV_12,enable,,"DV_12: altvtid encl of tdiff, orthog gate dir = DV_12"
DVE,DV_13,enable,,"DV_13: altvtid space to tdiff, in gate dir = DV_13"
DVE,DV_14,enable,,"DV_14: altvtid space to tdiff, orthog gate dir = DV_14"
DVE,DV_21,enable,,DV_21: nwell enc of non-coincident altvtid = DV_21
DVE,DV_22,enable,,DV_22: nwell space to non-coincident altvtid edge = DV_22
DVE,DV_23,enable,,DV_23: min required length of coincident altvtid and nwell edges = DV_23
DVE,DV_91,enable,,DV_91: altvtid layer not allowed outside polytd regions
DVE,DV_92,enable,,DV_92: polytd enc of non-coincident altvtid < DV_92
DVE,dvnframe,enable,,dvnframe: layer dvnframe not allowed in design data
DVE,dvpframe,enable,,dvpframe: layer dvpframe not allowed in design data
DVE,EA_01/EA_02,enable,,EA_01/EA_02: EOA PGD length != n x EA_01 or OGD length != m x EA_02
DVE,EA_11/gt,enable,,EA_11/gt: EOA OGD edge spacing to poly line-end > EA_11
DVE,EA_11/lt,enable,,EA_11/lt: EOA OGD edge spacing to poly line-end < EA_11
DVE,EA_12/gt,enable,,EA_12/gt: EOA PGD edge spacing to poly side > EA_12
DVE,EA_12/lt,enable,,EA_12/lt: EOA PGD edge spacing to poly side < EA_12
DVE,EA_21/EA_22,enable,,EA_21/EA_22: EOA space to metal9 < EA_21 or > EA_22
DVE,ER_01,enable,,ER_01: esd nwell resistor width < ER_01
DVE,ER_03,enable,,"ER_03: esd nwell resistor space, to self or to any other well < ER_03"
DVE,ER_04,enable,,ER_04: esd nwell enclosure of N+ diffusion inside < ER_04
DVE,ER_05,enable,,ER_05: esd nwell resistor space to N+ diffusion outside < ER_05
DVE,ER_06,enable,,ER_06: esd nwell resistor space to P+ diffusion outside < ER_06
DVE,ER_07,enable,,ER_07: esd nwell resistor space to N+ diffusion outside < ER_07
DVE,ER_08,enable,,ER_08: esd nwell resistor space to floating (no via0 connected) diffusion outside < ER_08
DVE,ER_09,enable,,"ER_09: Poly-blocked ESD resistor length, only allowed value = ER_09"
DVE,ER_12,enable,,ER_12: min blocked poly resistor width = ER_12
DVE,err0,enable,,err0: err0 - gate within esddiodewell
DVE,fbiasedcheck,enable,,fbiasedcheck: forward - biased diode shorting vcc and vss
DVE,FM_11,enable,,FM_11: max area of floating metal1 with or without a facing edge not connected to diff or gate > FM_11
DVE,FM_12,enable,,FM_12: floating metal1 not connected to diff or gate with facing edge > FM_12
DVE,FM_13,enable,,FM_13: area of floating metal1 not connected to diff or gate > FM_13 with facing edge > 0
DVE,FM_21,enable,,FM_21: floating metal2 area with or without a facing edge not connected to diff or gate > FM_21
DVE,FM_22,enable,,FM_22: floating metal2 not connected to diff or gate with facing edge > FM_22
DVE,FM_23,enable,,FM_23: area of floating metal2 not connected to diff or gate > FM_23 with facing edge > 0
DVE,FM_31,enable,,FM_31: floating metal3 area with or without facing edge not connected to  diff or gate > FM_31
DVE,FM_32,enable,,FM_32: floating metal3 not connected to diff or gate with facing edge > FM_32
DVE,FM_33,enable,,FM_33: area of floating metal3 not connected to diff or gate > FM_33 with facing edge > 0
DVE,FM_41,enable,,FM_41: floating metal4 area with or without facing edge not connected to  diff or gate > FM_41
DVE,FM_42,enable,,FM_42: floating metal4 not connected to diff or gate with facing edge > FM_42
DVE,FM_43,enable,,FM_43: area of floating metal4 not connected to diff or gate > FM_43 with facing edge > 0
DVE,FM_51,enable,,FM_51: floating metal5 area with or without facing edge not connected to  diff or gate > FM_51
DVE,FM_52,enable,,FM_52: floating metal5 not connected to diff or gate with facing edge > FM_52
DVE,FM_53,enable,,FM_53: area of floating metal5 not connected to diff or gate > FM_53 with facing edge > 0
DVE,FM_61,enable,,FM_61: floating metal6 area with or without facing edge not connected to  diff or gate > FM_61
DVE,FM_62,enable,,FM_62: floating metal6 not connected to diff or gate with facing edge > FM_62
DVE,FM_63,enable,,FM_63: area of floating metal6 not connected to diff or gate > FM_63 with facing edge > 0
DVE,FM_71,enable,,FM_71: floating metal7 area with or without facing edge not connected to  diff or gate > FM_71
DVE,FM_72,enable,,FM_72: floating metal7 not connected to diff or gate with facing edge > FM_72
DVE,FM_73,enable,,FM_73: area of floating metal7 not connected to diff or gate > FM_73 with facing edge > 0
DVE,FM_81,enable,,FM_81: floating metal8 area with or without facing edge not connected to  diff or gate > FM_81
